candidate_rank,project_id,sample_file,repository_url,focal_class,focal_class_path,source_layout,class_kind,is_abstract,class_loc,focal_method_name,focal_method_loc,focal_method_modifiers,has_control_flow,has_observable_output,constructor_dependency_count,external_dependency_risk,external_risk_reasons,testability_score,semantic_status,semantic_exclusion_reason,build_tool,module_path,testing_framework,detected_java_version,selected_java_home,java_selection_reason,checkout_revision,clone_attempts,baseline_passes_required,baseline_passes_completed,baseline_states,classpath_resolved,classpath_exit_code,focal_class_fqcn,focal_bytecode_found,probe_target_state,probe_module_state,offline_baseline_state,eligibility_status,exclusion_stage,exclusion_reason,elapsed_seconds,artifact_dir
5,38443009,38443009_4.json,https://github.com/marcohc/android-clean-architecture,CipherHelper,security/src/main/java/com/marcohc/architecture/common/util/helper/CipherHelper.java,production,,,,encrypt,21,public static,True,True,,,,,ELIGIBLE,,,,,,,,,,2,0,,,,,,,,,EXCLUDED,setup,"RuntimeError: Repository setup failed after 3 attempts: CalledProcessError: Command '['git', '-c', 'core.longpaths=true', 'clone', '--depth', '1', 'https://github.com/marcohc/android-clean-architecture', 'R:\\Đồ án\\RepoGithub\\ARROW\\repos\\38443009']' returned non-zero exit status 128.",10.125,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00005_38443009_38443009_4
10,1028034,1028034_3.json,https://github.com/fuzziness/kabeja,ParametricPlane,core/src/main/java/org/kabeja/math/ParametricPlane.java,production,class,False,173,getParameter,19,public,True,True,1,False,,9,ELIGIBLE,,maven,core,junit4,5,C:\Java-version\java-8,auto-discovered compatible JDK 8 for Java 5,,1,2,1,ASSERTION_FAILED,,,org.kabeja.math.ParametricPlane,,,,,EXCLUDED,baseline,constituent[4]: file:/c:<path>,2.172,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00010_1028034_1028034_3
15,55246521,55246521_89.json,https://github.com/PearsonEducation/Docussandra,IndexRepositoryImpl,cassandra/src/main/java/com/pearson/docussandra/persistence/impl/IndexRepositoryImpl.java,production,,,,readAllCached,31,@Override public,True,True,,,,,ELIGIBLE,,,,,,,,,,2,0,,,,,,,,,EXCLUDED,setup,"RuntimeError: Repository setup failed after 3 attempts: CalledProcessError: Command '['git', '-c', 'core.longpaths=true', 'clone', '--depth', '1', 'https://github.com/PearsonEducation/Docussandra', 'R:\\Đồ án\\RepoGithub\\ARROW\\repos\\55246521']' returned non-zero exit status 128.",9.969,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00015_55246521_55246521_89
20,218912806,218912806_6.json,https://github.com/smallyunet/jeecg-boot-with-activiti,TaskHandler,activiti-middleware/src/main/java/com/umfintech/activitimiddleware/service/TaskHandler.java,production,,,,getAllTask,7,public,False,True,,,,,ELIGIBLE,,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,setup,"Error: [('R:\\Đồ án\\RepoGithub\\ARROW\\repos\\218912806\\jeecg-boot-module-system\\src\\main\\resources\\jeecg\\code-template\\one\\java\\${bussiPackage}\\${entityPackage}\\controller\\${entityName}Controller.javai', 'R:\\Đồ án\\RepoGithub\\ARROW\\runs\\sample_selection\\distributed\\shard-4\\candidates\\00020_218912806_218912806_6\\workspace\\jeecg-boot-module-system\\src\\main\\resources\\jeecg\\code-template\\one\\java\\${bussiPackage}\\${entityPackage}\\controller\\${entityName}Controller.javai', '[WinError 3] The system cannot find the path specified'), ('R:\\Đồ án\\RepoGithub\\ARROW\\repos\\218912806\\jeecg-boot-module-system\\src\\main\\resources\\jeecg\\code-template\\one\\java\\${bussiPackage}\\${entityPackage}\\service\\impl\\${entityName}ServiceImpl.javai', 'R:\\Đồ án\\RepoGithub\\ARROW\\runs\\sample_selection\\distributed\\shard-4\\candidates\\00020_218912806_218912806_6\\workspace\\jeecg-boot-module-system\\src\\main\\resources\\jeecg\\code-template\\one\\java\\${bussiPackage}\\${entityPackage}\\service\\impl\\${entityName}ServiceImpl.javai', '[WinError 3] The system cannot find the path specified'), ('R:\\Đồ án\\RepoGithub\\ARROW\\repos\\218912806\\jeecg-boot-module-system\\src\\main\\resources\\jeecg\\code-template\\one\\java\\${bussiPackage}\\${entityPackage}\\vue\\modules\\${entityName}Modal__Style#Drawer.vuei', 'R:\\Đồ án\\RepoGithub\\ARROW\\runs\\sample_selection\\distributed\\shard-4\\candidates\\00020_218912806_218912806_6\\workspace\\jeecg-boot-module-system\\src\\main\\resources\\jeecg\\code-template\\one\\java\\${bussiPackage}\\${entityPackage}\\vue\\modules\\${entityName}Modal__Style#Drawer.vuei', '[WinError 3] The system cannot find the path specified'), ('R:\\Đồ án\\RepoGithub\\ARROW\\repos\\218912806\\jeecg-boot-module-system\\src\\main\\resources\\jeecg\\code-template\\one2\\java\\${bussiPackage}\\controller\\${entityPackage}\\${entityName}Controller.javai', 'R:\\Đồ án\\RepoGithub\\ARROW\\runs\\sample_selection\\distributed\\shard-4\\ca",1.172,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00020_218912806_218912806_6
25,60586822,60586822_0.json,https://github.com/bikeholik/jms-kafka-connector,ListeningContainerMessageReceiver,jms-kafka-connector/src/main/java/com/github/bikeholik/kafka/connector/jms/source/ListeningContainerMessageReceiver.java,production,class,False,185,poll,20,@Override public,False,True,4,True,database,6,EXCLUDED,external_dependency_risk:database;testability_score_below_7,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,external_dependency_risk:database;testability_score_below_7,1.844,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00025_60586822_60586822_0
30,116932005,116932005_14.json,https://github.com/Mimetis/Jhispter-Kubernetes,CookieCollection,contoso/src/main/java/com/mycompany/myapp/security/oauth2/CookieCollection.java,production,,,,removeAll,8,@Override public,True,True,,,,,ELIGIBLE,,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,setup,FileNotFoundError: Cannot resolve focal class path: contoso/src/main/java/com/mycompany/myapp/security/oauth2/CookieCollection.java,0.453,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00030_116932005_116932005_14
35,4695543,4695543_8.json,https://github.com/davidmoten/xuml-tools,Marshaller,miuml-jaxb/src/main/java/xuml/tools/miuml/metamodel/jaxb/Marshaller.java,production,class,False,59,unmarshal,8,public synchronized,True,True,0,False,,9,ELIGIBLE,,maven,miuml-jaxb,junit4,${project.build.directory}/generated-sources/jaxb,,JDK ${project.build.directory}/generated-sources/jaxb not mapped; using system default Java,,1,2,1,ASSERTION_FAILED,,,xuml.tools.miuml.metamodel.jaxb.Marshaller,,,,,EXCLUDED,baseline,constituent[4]: file:/c:<path>,3.750,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00035_4695543_4695543_8
40,1827687,1827687_0.json,https://github.com/Emergya/gofleet,MessageGenerator,core/src/main/java/es/emergya/comunications/MessageGenerator.java,production,,,,getDatagrama,23,protected static,True,True,,,,,ELIGIBLE,,,,,,,,,,2,0,,,,,,,,,EXCLUDED,setup,"RuntimeError: Repository setup failed after 3 attempts: CalledProcessError: Command '['git', '-c', 'core.longpaths=true', 'clone', '--depth', '1', 'https://github.com/Emergya/gofleet', 'R:\\Đồ án\\RepoGithub\\ARROW\\repos\\1827687']' returned non-zero exit status 128.",9.969,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00040_1827687_1827687_0
45,53265801,53265801_5.json,https://github.com/jenzz/RxAppState,CompositeAppStateListener,appstate/src/main/java/com/jenzz/appstate/internal/CompositeAppStateListener.java,production,,,,onAppDidEnterBackground,6,@Override public,True,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.000,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00045_53265801_53265801_5
50,74950506,74950506_1.json,https://github.com/apache/aries-jax-rs-whiteboard,ClassIntrospector,jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/introspection/ClassIntrospector.java,production,,,,getResourceMethodInfos,11,public static,True,True,,,,,ELIGIBLE,,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,setup,"Error: [('R:\\Đồ án\\RepoGithub\\ARROW\\repos\\74950506\\integrations\\rest-management\\rest-management\\src\\main\\java\\org\\apache\\aries\\jax\\rs\\rest\\management\\internal\\FrameworkBundlesRepresentationsResource.java', 'R:\\Đồ án\\RepoGithub\\ARROW\\runs\\sample_selection\\distributed\\shard-4\\candidates\\00050_74950506_74950506_1\\workspace\\integrations\\rest-management\\rest-management\\src\\main\\java\\org\\apache\\aries\\jax\\rs\\rest\\management\\internal\\FrameworkBundlesRepresentationsResource.java', '[WinError 3] The system cannot find the path specified'), ('R:\\Đồ án\\RepoGithub\\ARROW\\repos\\74950506\\integrations\\rest-management\\rest-management\\src\\main\\java\\org\\apache\\aries\\jax\\rs\\rest\\management\\internal\\FrameworkBundleStartLevelResource.java', 'R:\\Đồ án\\RepoGithub\\ARROW\\runs\\sample_selection\\distributed\\shard-4\\candidates\\00050_74950506_74950506_1\\workspace\\integrations\\rest-management\\rest-management\\src\\main\\java\\org\\apache\\aries\\jax\\rs\\rest\\management\\internal\\FrameworkBundleStartLevelResource.java', '[WinError 3] The system cannot find the path specified'), ('R:\\Đồ án\\RepoGithub\\ARROW\\repos\\74950506\\integrations\\rest-management\\rest-management\\src\\main\\java\\org\\apache\\aries\\jax\\rs\\rest\\management\\internal\\FrameworkServicesRepresentationsResource.java', 'R:\\Đồ án\\RepoGithub\\ARROW\\runs\\sample_selection\\distributed\\shard-4\\candidates\\00050_74950506_74950506_1\\workspace\\integrations\\rest-management\\rest-management\\src\\main\\java\\org\\apache\\aries\\jax\\rs\\rest\\management\\internal\\FrameworkServicesRepresentationsResource.java', '[WinError 3] The system cannot find the path specified'), ('R:\\Đồ án\\RepoGithub\\ARROW\\repos\\74950506\\integrations\\rest-management\\rest-management\\src\\main\\java\\org\\apache\\aries\\jax\\rs\\rest\\management\\internal\\jaxb\\ServiceSchemaContextResolver.java', 'R:\\Đồ án\\RepoGithub\\ARROW\\runs\\sample_selection\\distributed\\sh",2.546,R:\Đồ án\RepoGithub\ARROW\runs\sample_selection\distributed\shard-4\candidates\00050_74950506_74950506_1
