candidate_rank,project_id,sample_file,repository_url,focal_class,focal_class_path,source_layout,class_kind,is_abstract,class_loc,focal_method_name,focal_method_loc,focal_method_modifiers,has_control_flow,has_observable_output,constructor_dependency_count,external_dependency_risk,external_risk_reasons,testability_score,semantic_status,semantic_exclusion_reason,build_tool,module_path,testing_framework,detected_java_version,selected_java_home,java_selection_reason,checkout_revision,clone_attempts,baseline_passes_required,baseline_passes_completed,baseline_states,classpath_resolved,classpath_exit_code,focal_class_fqcn,focal_bytecode_found,probe_target_state,probe_module_state,offline_baseline_state,eligibility_status,exclusion_stage,exclusion_reason,elapsed_seconds,artifact_dir
1,105081364,105081364_6.json,https://github.com/md-5/OpenJDK,LogCompilation,src/utils/LogCompilation/src/main/java/com/sun/hotspot/tools/compiler/LogCompilation.java,production,,,,main,90,public static,True,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.003,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00001_105081364_105081364_6
6,766240,766240_13.json,https://github.com/stephenh/tessell,NumberUtils,user/src/main/java/org/tessell/util/NumberUtils.java,production,class,False,37,format,12,public static,True,True,0,False,,10,ELIGIBLE,,gradle,user,junit4,8,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/Java-version/java-8/Contents/Home,matched build.java_homes.java-8,,1,2,1,ASSERTION_FAILED,,,org.tessell.util.NumberUtils,,,,,EXCLUDED,baseline,failure: build failed with an exception.,6.226,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00006_766240_766240_13
11,61372044,61372044_181.json,https://github.com/MissionCriticalCloud/cosmic,LibvirtComputingResource,cosmic-agent/src/main/java/com/cloud/agent/resource/kvm/LibvirtComputingResource.java,production,,,,getLibvirtUtilitiesHelper,3,public,False,True,,,,,EXCLUDED,trivial_focal_method,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,trivial_focal_method,0.001,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00011_61372044_61372044_181
16,76667858,76667858_0.json,https://github.com/researchgate/restler,ServiceModel,restler-core/src/main/java/net/researchgate/restdsl/model/ServiceModel.java,production,class,True,56,get,3,public,False,True,1,False,,7,EXCLUDED,non_concrete:class:abstract,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,non_concrete:class:abstract,1.503,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00016_76667858_76667858_0
21,23686634,23686634_7.json,https://github.com/rhlabs/louie,LoadingSupplier,engine/src/main/java/com/rhythm/louie/cache/LoadingSupplier.java,production,class,True,44,get,9,@Override public final,True,True,0,False,,10,EXCLUDED,non_concrete:class:abstract,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,non_concrete:class:abstract,2.112,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00021_23686634_23686634_7
26,24855056,24855056_82.json,https://github.com/lmco/streamflow,TopologyResource,streamflow-core/streamflow-server/src/main/java/streamflow/server/resource/TopologyResource.java,production,class,False,156,getTopology,7,"@GET @Path(""/{topologyId}"") @Produces(MediaType.APPLICATION_JSON) public",False,True,1,False,,7,ELIGIBLE,,maven,streamflow-core/streamflow-server,junit4,7,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/Java-version/java-8/Contents/Home,using compatible JDK 8 from build.java_homes.java-8 for Java 7,,1,2,1,COMPILE_FAILED,,,streamflow.server.resource.TopologyResource,,,,,EXCLUDED,baseline,[warning] org.mongodb:mongo-java-driver/maven-metadata.xml failed to transfer from http://0.0.0.0/ during a previous attempt. this failure was cached in the local repository and resolution will not be reattempted until the update interval of maven-default-http-blocker has elapsed or updates are forc,5.347,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00026_24855056_24855056_82
31,66020851,66020851_16.json,https://github.com/palantir/tritium,Instrumentation,tritium-lib/src/main/java/com/palantir/tritium/proxy/Instrumentation.java,production,class,False,184,builder,3,public static,False,True,0,False,,7,ELIGIBLE,,gradle,tritium-lib,junit5,unknown,/opt/homebrew/Cellar/openjdk@17/17.0.19/libexec/openjdk.jdk/Contents/Home,no project java version detected; using build.java_default,,1,2,2,MODULE_TESTS_PASSED|MODULE_TESTS_PASSED,True,0,com.palantir.tritium.proxy.Instrumentation,True,TARGET_TEST_PASSED,MODULE_TESTS_PASSED,MODULE_TESTS_PASSED,ELIGIBLE,,,44.254,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00031_66020851_66020851_16
36,55986996,55986996_1.json,https://github.com/erikjhordan-rey/Clean-Architecture-Android,TeamsRepository,app/src/main/java/io/github/erikjhordanrey/cleanarchitecture/data/repository/TeamsRepository.java,production,,,,getTeam,3,public,False,True,,,,,EXCLUDED,trivial_focal_method,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,trivial_focal_method,0.001,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00036_55986996_55986996_1
41,5126482,5126482_11.json,https://github.com/CeON/CoAnSys,CoreCitationMatchingService,citation-matching/citation-matching-core-code/src/main/java/pl/edu/icm/coansys/citations/CoreCitationMatchingService.java,production,class,False,74,matchCitations,7,public,False,True,0,False,,7,ELIGIBLE,,maven,citation-matching/citation-matching-core-code,testng,8,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/Java-version/java-8/Contents/Home,matched build.java_homes.java-8,,1,2,1,RUNTIME_FAILED,,,pl.edu.icm.coansys.citations.CoreCitationMatchingService,,,,,EXCLUDED,baseline,[error] [error] some problems were encountered while processing the poms:,5.161,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00041_5126482_5126482_11
46,2193717,2193717_2.json,https://github.com/lexicalscope/fluent-reflection,ConvertClassToReflectedType,fluent-reflection/src/main/java/com/lexicalscope/fluentreflection/ConvertClassToReflectedType.java,production,class,False,27,convert,4,@Override public,True,True,1,False,,9,ELIGIBLE,,maven,fluent-reflection,junit4,6,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/Java-version/java-8/Contents/Home,using compatible JDK 8 from build.java_homes.java-8 for Java 6,,1,2,2,MODULE_TESTS_PASSED|MODULE_TESTS_PASSED,True,0,com.lexicalscope.fluentreflection.ConvertClassToReflectedType,True,TARGET_TEST_PASSED,MODULE_TESTS_PASSED,MODULE_TESTS_PASSED,ELIGIBLE,,,34.403,/Users/dungng/FPT/Ki 9/SET490/ARROW-paper/ARROW/runs/sample_selection/distributed/shard-0/candidates/00046_2193717_2193717_2
