candidate_rank,project_id,sample_file,repository_url,focal_class,focal_class_path,source_layout,class_kind,is_abstract,class_loc,focal_method_name,focal_method_loc,focal_method_modifiers,has_control_flow,has_observable_output,constructor_dependency_count,external_dependency_risk,external_risk_reasons,testability_score,semantic_status,semantic_exclusion_reason,build_tool,module_path,testing_framework,detected_java_version,selected_java_home,java_selection_reason,checkout_revision,clone_attempts,baseline_passes_required,baseline_passes_completed,baseline_states,classpath_resolved,classpath_exit_code,focal_class_fqcn,focal_bytecode_found,probe_target_state,probe_module_state,offline_baseline_state,eligibility_status,exclusion_stage,exclusion_reason,elapsed_seconds,artifact_dir
2,60701247,60701247_744.json,https://github.com/JetBrains/android,CpuProfilerStage,profilers/src/com/android/tools/profilers/cpu/CpuProfilerStage.java,nonstandard,,,,getCaptureState,4,@NotNull public,False,True,,,,,EXCLUDED,source_layout:nonstandard;trivial_focal_method,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,source_layout:nonstandard;trivial_focal_method,0.003,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00002_60701247_60701247_744
7,48369985,48369985_247.json,https://github.com/feixiao/DesignPattern,Expression,Java/interpreter/src/main/java/com/iluwatar/interpreter/Expression.java,production,,,,toString,2,@Override public abstract,False,True,,,,,EXCLUDED,focal_method_not_directly_testable;trivial_focal_method,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,focal_method_not_directly_testable;trivial_focal_method,0.002,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00007_48369985_48369985_247
12,132938098,132938098_44.json,https://github.com/TechEmpower/gemini,StringHelper,gemini/src/main/java/com/techempower/helper/StringHelper.java,production,class,False,2198,trimExcessBlankLines,27,public static,True,True,0,True,nondeterminism,8,EXCLUDED,external_dependency_risk:nondeterminism,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,external_dependency_risk:nondeterminism,3.348,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00012_132938098_132938098_44
17,1342891,1342891_1.json,https://github.com/jbossas/console,InteractionUnit,gui/src/main/java/org/jboss/mbui/model/structure/InteractionUnit.java,production,class,True,220,equals,9,@Override public,True,True,2,False,,9,EXCLUDED,non_concrete:class:abstract,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,non_concrete:class:abstract,1.053,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00017_1342891_1342891_1
22,52231932,52231932_0.json,https://github.com/shilongdai/vsDiaryWriter,Compressor,journal/src/main/java/net/viperfish/framework/compression/Compressor.java,production,,,,Compressor,3,,False,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.001,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00022_52231932_52231932_0
27,2698192,2698192_5.json,https://github.com/sonatype/goodies,Throwables2,common/src/main/java/org/sonatype/goodies/common/Throwables2.java,production,class,False,73,explain,11,public static,True,True,0,False,,9,ELIGIBLE,,maven,common,junit4,21,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\Java version\jdk-21,matched build.java_homes.java-21,,1,2,1,COMPILE_FAILED,,,org.sonatype.goodies.common.Throwables2,,,,,EXCLUDED,baseline,java.lang.assertionerror:,33.316,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00027_2698192_2698192_5
32,45471150,45471150_0.json,https://github.com/dpreussler/clean-simple-calendar,CalendarAdapter,lib/src/main/java/de/jodamob/android/calendar/CalendarAdapter.java,production,,,,onBindViewHolder,8,@Override public final,False,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.001,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00032_45471150_45471150_0
37,2708082,2708082_47.json,https://github.com/chocoteam/choco-solver,IntIterableRangeSet,solver/src/main/java/org/chocosolver/util/objects/setDataStructures/iterable/IntIterableRangeSet.java,production,class,False,1106,previousValue,14,@Override public,True,True,0,False,,9,ELIGIBLE,,maven,solver,testng,17,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\Java version\jdk-17,matched build.java_homes.java-17,,1,2,1,COMPILE_FAILED,,,org.chocosolver.util.objects.setDataStructures.iterable.IntIterableRangeSet,,,,,EXCLUDED,baseline,"[error] /g:/fpt specialized/ki 9<path>:[line,col] package cpp does not exist",62.456,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00037_2708082_2708082_47
42,162806930,162806930_1.json,https://github.com/raydac/mvn-jlink,StringUtils,mvn-jlink-wrapper/src/main/java/com/igormaznitsa/mvnjlink/utils/StringUtils.java,production,class,False,293,extractJdepsModuleNames,15,@Nonnull @MustNotContainNull public static,True,True,0,False,,10,ELIGIBLE,,maven,mvn-jlink-wrapper,junit5,8,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\Java version\jdk-8,matched build.java_homes.java-8,,1,2,1,COMPILE_FAILED,,,com.igormaznitsa.mvnjlink.utils.StringUtils,,,,,EXCLUDED,baseline,[error] failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:<n>.14.0:testcompile (default-testcompile) on project mvn-jlink-wrapper: compilation failure,12.068,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00042_162806930_162806930_1
47,86106666,86106666_0.json,https://github.com/OpenFeign/feign-opentracing,HttpHeadersInjectAdapter,feign-opentracing/src/main/java/feign/opentracing/HttpHeadersInjectAdapter.java,production,class,False,52,put,25,@Override public,True,True,1,False,,10,ELIGIBLE,,maven,feign-opentracing,junit4,8,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\Java version\jdk-8,matched build.java_homes.java-8,,1,2,1,COMPILE_FAILED,,,feign.opentracing.HttpHeadersInjectAdapter,,,,,EXCLUDED,baseline,error: could not find or load main class specialized\ki,1.992,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00047_86106666_86106666_0
52,168531964,168531964_0.json,https://github.com/IstitutoCentraleCatalogoUnicoBiblio/Nuovo-Opac-di-Polo-SBN,StringNaturalCompare,SbnwebIndexer/src/org/solrmarc/tools/StringNaturalCompare.java,nonstandard,,,,compare,5,public,False,True,,,,,EXCLUDED,source_layout:nonstandard,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,source_layout:nonstandard,0.001,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00052_168531964_168531964_0
57,101466853,101466853_0.json,https://github.com/virtualcell/vcell,BatchScheduler,vcell-server/src/main/java/cbit/vcell/message/server/dispatcher/BatchScheduler.java,production,class,False,365,schedule,144,public static,True,True,0,False,,9,ELIGIBLE,,maven,vcell-server,junit5,17,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\Java version\jdk-17,matched build.java_homes.java-17,,1,2,1,RUNTIME_FAILED,,,cbit.vcell.message.server.dispatcher.BatchScheduler,,,,,EXCLUDED,baseline,[error] [error] some problems were encountered while processing the poms:,8.893,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00057_101466853_101466853_0
62,173721564,173721564_51.json,https://github.com/sofastack/sofa-jraft,Recyclers,jraft-core/src/main/java/com/alipay/sofa/jraft/util/Recyclers.java,production,,,,recycle,18,public final,True,True,,,,,ELIGIBLE,,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,setup,FileNotFoundError: Cannot resolve focal class path: jraft-core/src/main/java/com/alipay/sofa/jraft/util/Recyclers.java,2.249,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00062_173721564_173721564_51
67,81932909,81932909_16.json,https://github.com/SchwarzIT/andcoachmark,LeftOfCircleActionDescriptionRenderer,library/src/main/java/kaufland/com/coachmarklibrary/renderer/actiondescription/LeftOfCircleActionDescriptionRenderer.java,production,,,,render,9,@Override public,False,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.002,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00067_81932909_81932909_16
72,22252491,22252491_1.json,https://github.com/OpenHFT/Chronicle-Logger,DefaultChronicleLogWriter,logger-core/src/main/java/net/openhft/chronicle/logger/DefaultChronicleLogWriter.java,production,,,,write,9,@Override public,False,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.001,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00072_22252491_22252491_1
77,67680403,67680403_0.json,https://github.com/ravidsrk/android-testing-guide,Calculator,SampleApp/app/src/main/java/in/ravidsrk/sample/Calculator.java,production,class,False,13,add,3,public,False,True,0,False,,7,ELIGIBLE,,gradle,SampleApp\app,junit4,1,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\Java version\jdk-8,using compatible JDK 8 from build.java_homes.java-8 for Java 1,,1,2,1,ASSERTION_FAILED,,,in.ravidsrk.sample.Calculator,,,,,EXCLUDED,baseline,failure: build failed with an exception.,5.740,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00077_67680403_67680403_0
82,232306581,232306581_16.json,https://github.com/alibaba/innodb-java-reader,Utils,innodb-java-reader/src/main/java/com/alibaba/innodb/java/reader/util/Utils.java,production,,,,processFileWithDelimiter,38,public static,True,True,,,,,ELIGIBLE,,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,setup,FileNotFoundError: Cannot resolve focal class path: innodb-java-reader/src/main/java/com/alibaba/innodb/java/reader/util/Utils.java,0.663,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00082_232306581_232306581_16
87,74740415,74740415_8.json,https://github.com/republique-et-canton-de-geneve/chvote-1-0,BallotCipherService,commons-base/commons-crypto/src/main/java/ch/ge/ve/commons/crypto/ballot/BallotCipherService.java,production,,,,setIntegrityKeyFileName,4,public,False,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.001,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00087_74740415_74740415_8
92,4835576,4835576_18.json,https://github.com/jameskennard/mockito-collections,CollectionInjector,mockito-collections-core/src/main/java/uk/co/webamoeba/mockito/collections/inject/CollectionInjector.java,production,,,,inject,6,public,True,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.001,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00092_4835576_4835576_18
97,32034982,32034982_134.json,https://github.com/OpenEstate/OpenEstate-IO,OpenImmoUtils,OpenImmo/src/main/java/org/openestate/io/openimmo/OpenImmoUtils.java,production,class,False,384,parseDate,3,public static,False,True,0,True,filesystem,7,EXCLUDED,external_dependency_risk:filesystem,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,external_dependency_risk:filesystem,0.864,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00097_32034982_32034982_134
102,6448810,6448810_160.json,https://github.com/vivo-project/Vitro,ResultSetParser,api/src/main/java/edu/cornell/mannlib/vitro/webapp/utils/sparqlrunner/ResultSetParser.java,production,class,True,49,ifLongPresent,9,protected,True,True,0,False,,9,EXCLUDED,non_concrete:class:abstract,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,non_concrete:class:abstract,2.264,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00102_6448810_6448810_160
107,3165021,3165021_49.json,https://github.com/SpringJutsu/Springjutsu-Validation,SuccessViewHandlerInterceptor,validation/src/main/java/org/springjutsu/validation/mvc/SuccessViewHandlerInterceptor.java,production,,,,postHandle,22,@Override public,True,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.001,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00107_3165021_3165021_49
112,235076,235076_3.json,https://github.com/MikeJ1971/mobile-campus-assistant,ResourceHashModel,MobileWeb/mca-jena-freemarker/src/main/java/org/ilrt/mca/freemarker/ResourceHashModel.java,production,class,False,146,size,5,@Override public,False,True,1,False,,8,ELIGIBLE,,maven,MobileWeb\mca-jena-freemarker,junit4,unknown,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\Java version\jdk-17,no project java version detected; using build.java_default,,1,2,1,ASSERTION_FAILED,,,org.ilrt.mca.freemarker.ResourceHashModel,,,,,EXCLUDED,baseline,[info] build failure,2.306,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00112_235076_235076_3
117,91712296,91712296_0.json,https://github.com/Baeldung/stackify,MyService,log4j2-example/src/main/java/com/stackify/services/MyService.java,production,class,False,9,calculateUserAge,3,public,False,True,0,False,,6,EXCLUDED,testability_score_below_7,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,testability_score_below_7,2.333,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00117_91712296_91712296_0
122,67075821,67075821_4.json,https://github.com/lyft/lyft-android-sdk,DeepLink,deeplink/src/main/java/com/lyft/deeplink/DeepLink.java,production,class,False,90,createDeepLinkString,38,static,True,True,0,False,,9,ELIGIBLE,,gradle,deeplink,junit4,unknown,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\Java version\jdk-8,Gradle 4.10.1 requires compatible JDK 8; matched build.java_homes.java-8,,1,2,1,ASSERTION_FAILED,,,com.lyft.deeplink.DeepLink,,,,,EXCLUDED,baseline,failure: build failed with an exception.,4.553,G:\FPT Specialized\Ki 9\SET490\workspace\ARROW\runs\sample_selection\distributed\shard-1\candidates\00122_67075821_67075821_4
